,°¸Àý1,°¸Àý2,sim_w2v,sim_original,sim_vsm,sim_BERT,sim_Human
39,0425_en\0.json,0425_en\45.json,0.504,0.504,0.5333964609104418,0.501217365,0.525625
40,0425_en\0.json,0425_en\46.json,0.489,0.489,0.510688230856951,0.40391596,0.520544308566871
41,0425_en\0.json,0425_en\47.json,0.478,0.478,0.5216720300383333,0.620038368,0.520544308566871
42,0425_en\0.json,0425_en\48.json,0.570,0.570,0.6019292654288461,0.583436643,0.525625
43,0425_en\0.json,0425_en\49.json,0.561,0.561,0.5618006477335896,0.574880907,0.525625
44,0425_en\0.json,0425_en\5.json,0.495,0.495,0.5892556509887896,0.586581027,0.5330699634095015
45,0425_en\0.json,0425_en\50.json,0.580,0.580,0.5618006477335896,0.439025905,0.47750000000000004
46,0425_en\0.json,0425_en\51.json,0.544,0.544,0.5499719409228703,0.537822994,0.520544308566871
47,0425_en\0.json,0425_en\52.json,0.504,0.504,0.5459486832355505,0.598959875,0.47750000000000004
48,0425_en\0.json,0425_en\53.json,0.504,0.504,0.5333964609104418,0.560252163,0.47750000000000004
49,0425_en\0.json,0425_en\54.json,0.491,0.491,0.46206885338911463,0.608145094,0.5349781593395002
50,0425_en\0.json,0425_en\55.json,0.512,0.512,0.5388602512436507,0.445148879,0.520544308566871
51,0425_en\0.json,0425_en\56.json,0.602,0.602,0.5879447357921312,0.619695224,0.6330634918610405
52,0425_en\0.json,0425_en\57.json,0.512,0.512,0.5459486832355505,0.568677783,0.5330699634095015
53,0425_en\0.json,0425_en\58.json,0.481,0.481,0.5333964609104418,0.455527363,0.47750000000000004
54,0425_en\0.json,0425_en\59.json,0.533,0.533,0.510688230856951,0.508287341,0.47750000000000004
55,0425_en\0.json,0425_en\6.json,0.596,0.596,0.7463904912524668,0.5765223,0.6335472387700279
56,0425_en\0.json,0425_en\60.json,0.590,0.590,0.4290639352898922,0.562068794,0.6975
57,0425_en\0.json,0425_en\61.json,0.579,0.579,0.5455447255899809,0.389601552,0.5422809583993259
58,0425_en\0.json,0425_en\62.json,0.597,0.597,0.5879447357921312,0.543321317,0.5330699634095015
59,0425_en\0.json,0425_en\63.json,0.446,0.446,0.4645820984297111,0.55506483,0.47750000000000004
60,0425_en\0.json,0425_en\64.json,0.544,0.544,0.5594309277855157,0.554861466,0.520544308566871
61,0425_en\0.json,0425_en\65.json,0.567,0.567,0.5879447357921312,0.545097178,0.520544308566871
62,0425_en\0.json,0425_en\66.json,0.512,0.512,0.5594309277855157,0.477950362,0.5330699634095015
63,0425_en\0.json,0425_en\67.json,0.531,0.531,0.5555555555555556,0.483449905,0.5167938979571468
64,0425_en\0.json,0425_en\68.json,0.432,0.432,0.4444444444444444,0.479778199,0.47750000000000004
65,0425_en\0.json,0425_en\69.json,0.514,0.514,0.5879447357921312,0.430375602,0.525625
66,0425_en\0.json,0425_en\7.json,0.500,0.500,0.5184758473652127,0.62148992,0.5167938979571468
67,0425_en\0.json,0425_en\70.json,0.478,0.478,0.510688230856951,0.4916341,0.47750000000000004
68,0425_en\0.json,0425_en\71.json,0.546,0.546,0.5661385170722979,0.463390616,0.520544308566871
