,°¸Àý1,°¸Àý2,sim_w2v,sim_original,sim_vsm,sim_BERT,sim_Human
71,0425\0.json,0425\74.json,0.515,0.470,0.5216720300383333,0.412946656,0.525625
72,0425\0.json,0425\75.json,0.618,0.472,0.48148148148148145,0.430597135,0.5138790805271382
73,0425\0.json,0425\76.json,0.551,0.487,0.5360562674188974,0.409472097,0.5015039679259592
74,0425\0.json,0425\77.json,0.555,0.505,0.5455447255899809,0.413355912,0.5138790805271382
75,0425\0.json,0425\78.json,0.569,0.524,0.5744269579035527,0.542297547,0.571486276332712
76,0425\0.json,0425\79.json,0.692,0.678,0.7559289460184544,0.564316128,0.588639926819003
77,0425\0.json,0425\8.json,0.659,0.538,0.6154574548966636,0.563112207,0.525625
78,0425\0.json,0425\80.json,0.545,0.487,0.5618006477335896,0.54082191,0.5330699634095015
79,0425\0.json,0425\81.json,0.673,0.561,0.5185185185185185,0.422479382,0.5079369224791207
80,0425\0.json,0425\82.json,0.594,0.442,0.5216720300383333,0.435521185,0.47750000000000004
81,0425\0.json,0425\83.json,0.533,0.514,0.5739640213948523,0.437068977,0.525625
82,0425\0.json,0425\84.json,0.655,0.499,0.5459486832355505,0.438663781,0.520544308566871
83,0425\0.json,0425\85.json,0.533,0.478,0.5216720300383333,0.403128411,0.520544308566871
84,0425\0.json,0425\86.json,0.618,0.551,0.6678230711206282,0.40271746,0.47750000000000004
85,0425\0.json,0425\87.json,0.561,0.516,0.5892556509887896,0.422494432,0.5059018778721878
86,0425\0.json,0425\88.json,0.569,0.432,0.48154341234307685,0.423070218,0.47750000000000004
87,0425\0.json,0425\89.json,0.712,0.662,0.6546536707079771,0.495002151,0.7045096783000991
88,0425\0.json,0425\9.json,0.642,0.514,0.5739640213948523,0.511201056,0.525625
89,0425\0.json,0425\90.json,0.551,0.531,0.6154574548966636,0.511299492,0.5330699634095015
90,0425\0.json,0425\91.json,0.734,0.670,0.5819143739626463,0.506049573,0.7664715572103777
91,0425\0.json,0425\92.json,0.629,0.486,0.5773502691896257,0.624612987,0.47750000000000004
92,0425\0.json,0425\93.json,0.520,0.482,0.5618006477335896,0.621638826,0.5059018778721878
93,0425\0.json,0425\94.json,0.562,0.519,0.5739640213948523,0.632828264,0.5330699634095015
94,0425\0.json,0425\95.json,0.654,0.520,0.5744269579035527,0.629934355,0.5330699634095015
95,0425\0.json,0425\96.json,0.546,0.495,0.5661385170722979,0.521323396,0.525625
96,0425\0.json,0425\97.json,0.553,0.521,0.6038810848771178,0.514529199,0.525625
97,0425\0.json,0425\98.json,0.634,0.497,0.5499719409228703,0.488060805,0.5540268778721877
98,0425\0.json,0425\99.json,0.509,0.465,0.5003191829243043,0.484365167,0.49995365597551245
99,0425\1.json,0425\10.json,0.604,0.580,0.6004805767690768,0.997839809,0.5550699634095015
100,0425\1.json,0425\11.json,0.584,0.584,0.6092717958449424,0.998093845,0.5540268778721877
101,0425\1.json,0425\12.json,0.655,0.594,0.6527912098338668,0.604974041,0.5822634589144969
102,0425\1.json,0425\13.json,0.666,0.548,0.6123724356957946,0.637850696,0.5489461864390587
103,0425\1.json,0425\14.json,0.656,0.517,0.5715476066494082,0.64266181,0.5413906457096445
104,0425\1.json,0425\15.json,0.557,0.523,0.5533167449931867,0.646868671,0.525625
105,0425\1.json,0425\16.json,0.604,0.512,0.6405126152203486,0.828795654,0.5266934955049953
106,0425\1.json,0425\17.json,0.562,0.500,0.5307227776030219,0.832579533,0.5059018778721878
107,0425\1.json,0425\18.json,0.618,0.500,0.5604485383178051,0.834439515,0.47750000000000004
108,0425\1.json,0425\19.json,0.700,0.569,0.5499719409228703,0.832156102,0.5330699634095015
109,0425\1.json,0425\2.json,0.678,0.548,0.6123724356957946,0.421414463,0.5059018778721878
110,0425\1.json,0425\20.json,0.688,0.557,0.59336610396393,0.41405373,0.5330699634095015
111,0425\1.json,0425\21.json,0.672,0.580,0.5790660241435862,0.423338995,0.4995
112,0425\1.json,0425\22.json,0.733,0.641,0.668153104781061,0.612342052,0.5540268778721877
113,0425\1.json,0425\23.json,0.662,0.575,0.6384423980690616,0.623621047,0.5540268778721877
114,0425\1.json,0425\24.json,0.575,0.525,0.6123724356957946,0.62714976,0.5059018778721878
115,0425\1.json,0425\25.json,0.677,0.569,0.5892556509887896,0.624645323,0.5550699634095015
116,0425\1.json,0425\26.json,0.615,0.576,0.6250000000000001,0.555902349,0.5697378040718664
117,0425\1.json,0425\27.json,0.697,0.569,0.6250000000000001,0.54204754,0.5553293628287231
118,0425\1.json,0425\28.json,0.682,0.580,0.6527912098338668,0.580589971,0.5678550176713537
119,0425\1.json,0425\29.json,0.741,0.648,0.6963106238227914,0.582729578,0.5614718412816893
120,0425\1.json,0425\3.json,0.656,0.656,0.7302967433402214,0.670307596,0.6378334223239983
121,0425\1.json,0425\30.json,0.578,0.537,0.5604485383178051,0.67362833,0.5330699634095015
122,0425\1.json,0425\31.json,0.646,0.503,0.565752381856018,0.675357696,0.5059018778721878
123,0425\1.json,0425\32.json,0.545,0.535,0.565752381856018,0.673798082,0.551578952218999
124,0425\1.json,0425\33.json,0.649,0.578,0.6004805767690768,0.618805664,0.551578952218999
125,0425\1.json,0425\34.json,0.675,0.546,0.5892556509887896,0.603850531,0.5330699634095015
126,0425\1.json,0425\35.json,0.640,0.537,0.5833333333333334,0.603850531,0.5413906457096445
127,0425\1.json,0425\36.json,0.724,0.632,0.6846531968814576,0.595184661,0.5748184955049954
128,0425\1.json,0425\37.json,0.690,0.598,0.668153104781061,0.529173241,0.5748184955049954
129,0425\1.json,0425\38.json,0.586,0.586,0.6254627916220946,0.538302293,0.5266934955049953
130,0425\1.json,0425\39.json,0.685,0.685,0.7492686492653552,0.538928252,0.5822634589144969
131,0425\1.json,0425\4.json,0.515,0.478,0.5958795715311241,0.536667219,0.47750000000000004
132,0425\1.json,0425\40.json,0.754,0.662,0.7144345083117604,0.564849942,0.6378334223239983
133,0425\1.json,0425\41.json,0.561,0.523,0.565752381856018,0.564849942,0.5451957758293345
134,0425\1.json,0425\42.json,0.718,0.626,0.6666666666666667,0.562569126,0.5553293628287231
135,0425\1.json,0425\43.json,0.647,0.542,0.5958795715311241,0.560734832,0.5266934955049953
136,0425\1.json,0425\44.json,0.683,0.547,0.6250000000000001,0.57369554,0.5540268778721877
137,0425\1.json,0425\45.json,0.584,0.584,0.6527912098338668,0.574538332,0.5604100542618522
138,0425\1.json,0425\46.json,0.677,0.548,0.6250000000000001,0.549563164,0.5489461864390587
139,0425\1.json,0425\47.json,0.605,0.500,0.5958795715311241,0.551116693,0.47750000000000004
140,0425\1.json,0425\48.json,0.605,0.552,0.6384423980690616,0.559412384,0.5540268778721877
