,案例1,案例2,sim_w2v,sim_original,sim_vsm,sim_BERT,sim_Human
123,0425\1.json,0425\32.json,0.545,0.535,0.565752382,0.704910371,0.551578952
124,0425\1.json,0425\33.json,0.649,0.578,0.600480577,0.67801528,0.551578952
125,0425\1.json,0425\34.json,0.675,0.546,0.589255651,0.685818953,0.533069963
126,0425\1.json,0425\35.json,0.64,0.537,0.583333333,0.749516542,0.541390646
127,0425\1.json,0425\36.json,0.724,0.632,0.684653197,0.633663818,0.574818496
128,0425\1.json,0425\37.json,0.69,0.598,0.668153105,0.762855822,0.574818496
129,0425\1.json,0425\38.json,0.586,0.586,0.625462792,0.717447456,0.526693496
130,0425\1.json,0425\39.json,0.685,0.685,0.749268649,0.592568834,0.582263459
131,0425\1.json,0425\4.json,0.515,0.478,0.595879572,0.639080215,0.4775
132,0425\1.json,0425\40.json,0.754,0.662,0.714434508,0.812649118,0.637833422
133,0425\1.json,0425\41.json,0.561,0.523,0.565752382,0.673342361,0.545195776
134,0425\1.json,0425\42.json,0.718,0.626,0.666666667,0.749098523,0.555329363
135,0425\1.json,0425\43.json,0.647,0.542,0.595879572,0.669698453,0.526693496
136,0425\1.json,0425\44.json,0.683,0.547,0.625,0.715668751,0.554026878
137,0425\1.json,0425\45.json,0.584,0.584,0.65279121,0.740155354,0.560410054
138,0425\1.json,0425\46.json,0.677,0.548,0.625,0.65076836,0.548946186
139,0425\1.json,0425\47.json,0.605,0.5,0.595879572,0.746938528,0.4775
140,0425\1.json,0425\48.json,0.605,0.552,0.638442398,0.716540915,0.554026878
141,0425\1.json,0425\49.json,0.655,0.52,0.595879572,0.651072519,0.550221748
142,0425\1.json,0425\5.json,0.559,0.466,0.583333333,0.710691408,0.4775
143,0425\1.json,0425\50.json,0.61,0.61,0.666666667,0.693179107,0.582263459
144,0425\1.json,0425\51.json,0.618,0.512,0.541666667,0.627510529,0.520544309
145,0425\1.json,0425\52.json,0.584,0.584,0.65279121,0.732786398,0.512285054
146,0425\1.json,0425\53.json,0.666,0.666,0.696310624,0.715073611,0.574818496
147,0425\1.json,0425\54.json,0.638,0.504,0.455091027,0.757448956,0.503223895
148,0425\1.json,0425\55.json,0.639,0.516,0.612372436,0.690515042,0.505901878
149,0425\1.json,0425\56.json,0.636,0.636,0.623609564,0.655314393,0.667848546
150,0425\1.json,0425\57.json,0.697,0.591,0.668153105,0.636329529,0.567855018
151,0425\1.json,0425\58.json,0.516,0.516,0.565752382,0.736393554,0.505901878
152,0425\1.json,0425\59.json,0.626,0.626,0.609271796,0.703240302,0.553153124
153,0425\1.json,0425\6.json,0.651,0.539,0.625,0.775801461,0.533069963
154,0425\1.json,0425\60.json,0.694,0.653,0.525105032,0.865377393,0.731529514
155,0425\1.json,0425\61.json,0.677,0.576,0.578637562,0.698175929,0.535879081
156,0425\1.json,0425\62.json,0.576,0.576,0.579066024,0.727866049,0.555069963
157,0425\1.json,0425\63.json,0.557,0.523,0.568573533,0.664828457,0.520544309
158,0425\1.json,0425\64.json,0.605,0.591,0.593366104,0.686334025,0.548946186
159,0425\1.json,0425\65.json,0.667,0.525,0.579066024,0.750895338,0.548946186
160,0425\1.json,0425\66.json,0.546,0.546,0.593366104,0.66212576,0.561471841
161,0425\1.json,0425\67.json,0.525,0.487,0.510688231,0.689692509,0.4775
162,0425\1.json,0425\68.json,0.536,0.523,0.589255651,0.691424697,0.533069963
163,0425\1.json,0425\69.json,0.572,0.538,0.579066024,0.765198542,0.560410054
164,0425\1.json,0425\7.json,0.618,0.5,0.513264903,0.667192839,0.4775
165,0425\1.json,0425\70.json,0.619,0.582,0.666666667,0.742116028,0.561471841
166,0425\1.json,0425\71.json,0.667,0.525,0.600480577,0.737542738,0.505901878
167,0425\1.json,0425\72.json,0.943,0.943,0.916666667,0.702662294,0.944542532
168,0425\1.json,0425\73.json,0.552,0.514,0.593366104,0.832000628,0.561471841
169,0425\1.json,0425\74.json,0.531,0.493,0.553316745,0.791347286,0.525625
170,0425\1.json,0425\75.json,0.647,0.508,0.510688231,0.98207264,0.513879081
171,0425\1.json,0425\76.json,0.591,0.535,0.530668631,0.744316704,0.520544309
172,0425\1.json,0425\77.json,0.582,0.539,0.578637562,0.692874698,0.538475828
173,0425\1.json,0425\78.json,0.584,0.546,0.565752382,0.724627861,0.545559028
174,0425\1.json,0425\79.json,0.594,0.594,0.668153105,0.795448347,0.582263459
175,0425\1.json,0425\8.json,0.722,0.618,0.65279121,0.776465398,0.554026878
176,0425\1.json,0425\80.json,0.609,0.546,0.595879572,0.679667894,0.588639927
177,0425\1.json,0425\81.json,0.655,0.562,0.510688231,0.611339917,0.502096748
178,0425\1.json,0425\82.json,0.646,0.5,0.595879572,0.832476009,0.525625
179,0425\1.json,0425\83.json,0.561,0.561,0.608780778,0.664438712,0.560410054
180,0425\1.json,0425\84.json,0.675,0.525,0.579066024,0.837345101,0.548946186
181,0425\1.json,0425\85.json,0.487,0.432,0.510753918,0.598440108,0.4775
182,0425\1.json,0425\86.json,0.678,0.594,0.625,0.767090404,0.582263459
183,0425\1.json,0425\87.json,0.584,0.546,0.583333333,0.758340086,0.533069963
184,0425\1.json,0425\88.json,0.614,0.478,0.553316745,0.741142086,0.533069963
185,0425\1.json,0425\89.json,0.596,0.557,0.578637562,0.801803162,0.633063492
186,0425\1.json,0425\9.json,0.669,0.561,0.608780778,0.818165054,0.525625
187,0425\1.json,0425\90.json,0.591,0.591,0.65279121,0.727717936,0.567855018
188,0425\1.json,0425\91.json,0.727,0.67,0.578637562,0.772285616,0.6975
189,0425\1.json,0425\92.json,0.701,0.571,0.653197265,0.858933,0.548946186
190,0425\1.json,0425\93.json,0.565,0.537,0.595879572,0.660058676,0.533069963
191,0425\1.json,0425\94.json,0.571,0.554,0.608780778,0.812813978,0.567855018
192,0425\1.json,0425\95.json,0.693,0.563,0.609271796,0.711521316,0.533069963
193,0425\1.json,0425\96.json,0.497,0.446,0.5204165,0.750223617,0.4775
194,0425\1.json,0425\97.json,0.549,0.518,0.560448538,0.673818984,0.525625
195,0425\1.json,0425\98.json,0.646,0.516,0.541666667,0.702636736,0.525625
196,0425\1.json,0425\99.json,0.577,0.538,0.530668631,0.800854633,0.525625
197,0425\10.json,0425\11.json,0.556,0.529,0.543557307,0.626533151,0.505901878
198,0425\10.json,0425\12.json,0.599,0.582,0.627181508,0.762469682,0.590860162
199,0425\10.json,0425\13.json,0.575,0.53,0.588348405,0.824293422,0.555605164
200,0425\10.json,0425\14.json,0.525,0.472,0.509901951,0.799483975,0.502096748
201,0425\10.json,0425\15.json,0.563,0.514,0.531609533,0.779300786,0.533069963
202,0425\10.json,0425\16.json,0.524,0.505,0.576923077,0.846488305,0.527203286
203,0425\10.json,0425\17.json,0.564,0.537,0.549125178,0.779288041,0.551274563
204,0425\10.json,0425\18.json,0.561,0.512,0.576923077,0.663167965,0.527203286
205,0425\10.json,0425\19.json,0.553,0.5,0.490653381,0.732398952,0.541666667
206,0425\10.json,0425\2.json,0.621,0.56,0.627571632,0.777874248,0.555605164
207,0425\10.json,0425\20.json,0.601,0.548,0.570087713,0.775519627,0.541666667
208,0425\10.json,0425\21.json,0.644,0.617,0.59914469,0.83351191,0.563666667
209,0425\10.json,0425\22.json,0.631,0.607,0.641940739,0.771538476,0.561471841
210,0425\10.json,0425\23.json,0.59,0.541,0.613395615,0.787006142,0.561471841
211,0425\10.json,0425\24.json,0.618,0.553,0.627571632,0.834703283,0.555605164
212,0425\10.json,0425\25.json,0.591,0.591,0.641623653,0.726816455,0.563666667
213,0425\10.json,0425\26.json,0.623,0.603,0.680544654,0.827087947,0.576396782
214,0425\10.json,0425\27.json,0.632,0.62,0.720576692,0.754607725,0.596773395
215,0425\10.json,0425\28.json,0.651,0.632,0.710805709,0.791815451,0.640618388
216,0425\10.json,0425\29.json,0.604,0.585,0.627181508,0.693653563,0.505901878
217,0425\10.json,0425\3.json,0.61,0.594,0.657793514,0.779291188,0.590860162
218,0425\10.json,0425\30.json,0.586,0.546,0.576923077,0.891382329,0.541666667
219,0425\10.json,0425\31.json,0.604,0.539,0.585369407,0.783789818,0.555605164
